title,forma,manufacturer,image-src
"Зонегран","капсулы 100 мг, 56 шт.","Эйсай, Япония","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Эпистат таблетки покрыт.плен.об. пролонг. 80 мг 30 шт.","упак.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/254/080/resized/230_230_1.jpg"
"Компливит Триместрум 3","таблетки, 30 шт.","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/upload/offer_photo/212/881/1.jpg"
"Цитрамон П","таблетки, 10 шт","Медисорб, Россия","http://www.eapteka.ru/upload/offer_photo/233/726/resized/230_230_1.jpg"
"Лапчатки корневище","пачка, 50 г","Здоровье, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Пульмикорт турбухалер","порошок для ингаляций 100 мкг/доза, 200 доз","АстраЗенека, Великобритания","http://www.eapteka.ru/upload/offer_photo/105/039/1.gif"
"ПАСК","таблетки покрыт.киш-раств.об. 1000 мг, 500 шт.","Фармасинтез, Россия","http://www.eapteka.ru/upload/offer_photo/208/681/resized/230_230_1.jpg"
"Цефтазидим-М.Дж.","флаконы 1 г","М Дж Экспортс, Индия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Прадакса","капсулы 75 мг, 10 шт.","Берингер Ингельхайм, Австрия","http://www.eapteka.ru/upload/offer_photo/212/108/resized/230_230_1.jpg"
"АТФ","ампулы 1% , 1 мл , 10 шт.","Виал, Россия","http://www.eapteka.ru/upload/offer_photo/228/815/resized/230_230_1.jpg"
"Септолете Нео пастилки яблоко","18 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/211/305/resized/230_230_1.jpg"
"Зиннат","таблетки 250 мг, 10 шт.","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/204/173/resized/230_230_1.jpg"
"Бромгексин","таблетки 8 мг 50 шт","Медисорб, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Эгитромб","таблетки покрыт.плен.об. 75 мг 14 шт.","Эгис, Венгрия","http://www.eapteka.ru/upload/offer_photo/212/256/resized/230_230_1.jpg"
"Зилаксера","таблетки 30 мг, 28 шт.","КРКА, Словения","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Нормофтал","капсулы 0.2 г, 60 шт.","Фирма-Вита, Россия","http://www.eapteka.ru/upload/offer_photo/210/657/1.jpg"
"Тримектал МВ","таблетки 35 мг, 60 шт.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/212/602/resized/230_230_1.jpg"
"Вальпарин ХР","таблетки 500 мг, 100 шт.","Торрент, Индия","http://www.eapteka.ru/upload/offer_photo/207/015/resized/230_230_1.jpg"
"Браунодин Б.Браун","раствор 7,5%, 100 мл","Браун Мельзунген, Германия","http://www.eapteka.ru/upload/offer_photo/224/869/resized/230_230_1.jpg"
"Олмакс Стронг","таблетки 50 мг, 2 шт.","Актавис, Швейцария","http://www.eapteka.ru/upload/offer_photo/231/138/1.jpg"
"Мелофлекс","ампулы 15 мг, 1,5 мл, 5 шт.","Ромфарм, Румыния","http://www.eapteka.ru/upload/offer_photo/221/869/resized/230_230_1.jpg"
"Хлоргексидин","суппозитории вагинальные 16 мг, 10 шт.","Фармпроект, Россия","http://www.eapteka.ru/upload/offer_photo/233/926/resized/230_230_1.jpg"
"Хиломакс-Комод","капли глазные, 10 мл","Урсафарм Арцнаймиттель, Германия","http://www.eapteka.ru/upload/offer_photo/213/621/resized/230_230_1.jpg"
"Цефтазидим-Акос","флаконы, 1 г","Красфарма, Россия","http://www.eapteka.ru/upload/offer_photo/234/004/1.jpg"
"Офлоксацин","флаконы 2 мг/мл, 100 мл","Красфарма, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Ксилометазолин","спрей 0,05%, 10 мл","Випс Мед Фирма, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Анексат","ампулы 0.5 мг , 5 мл , 5 шт.","Хоффманн ля Рош, Швейцария","http://www.eapteka.ru/upload/offer_photo/104/377/resized/230_230_1.jpg"
"Валсартан","таблетки 160 мг, 30 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/235/219/1.jpg"
"Эналаприл","таблетки 20 мг, 28 шт.","Обновление, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Нэйчес Баунти Чистый витамин С","таблетки 250 мг, 100 шт.","Нэйчес Баунти, США","http://www.eapteka.ru/upload/offer_photo/217/998/resized/230_230_1.jpg"
"Лизорил","таблетки 10 мг, 28 шт.","Ипка, Индия","http://www.eapteka.ru/upload/offer_photo/283/34/1.jpg"
"Растан","картридж, 15 МЕ","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/upload/offer_photo/215/004/1.jpg"
"Небилонг","таблетки 5 мг, 30 шт.","Микро Лабс Лтд, Индия","http://www.eapteka.ru/upload/offer_photo/217/358/resized/230_230_1.jpg"
"Вайтсорб таблетки 0,36г 10 шт.","упак.","ФармВИЛАР ФПК, Россия","http://www.eapteka.ru/upload/offer_photo/250/417/resized/230_230_1.jpg"
"Амикацин","флакон 500 мг, 1 шт.","Красфарма, Россия","http://www.eapteka.ru/upload/offer_photo/242/914/resized/230_230_1.jpg"
"Флемоклав Солютаб","таблетки диспергируемые 125 мг+31,25 мг, 20 шт.","Астеллас, Нидерланды","http://www.eapteka.ru/upload/offer_photo/208/144/1.jpg"
"Риспаксол","таблетки 4 мг, 20 шт.","Гриндекс, Латвия","http://www.eapteka.ru/upload/offer_photo/210/637/resized/230_230_1.jpg"
"Таутакс","флакон 20 мг, 1 мл","Лэнс-Фарм, Россия","http://www.eapteka.ru/upload/offer_photo/212/438/1.jpg"
"Бромгексин Никомед","флаконы 0.8 мг/мл , 150 мл","Никомед, Норвегия","http://www.eapteka.ru/upload/offer_photo/270/08/resized/230_230_1.jpg"
"Стимулотон","таблетки покрыт.плен.об. 50 мг 10 шт.","Эгис, Венгрия","http://www.eapteka.ru/upload/offer_photo/206/010/resized/230_230_1.jpg"
"Дальнева","таблетки 5 мг+4 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/230/987/resized/230_230_1.jpg"
"Монтелар","таблетки покрыт.плен.об. 10 мг, 14 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/219/740/resized/230_230_1.jpg"
"Фиторелакс","таблетки 30 шт.","Херкель Б.В., Нидерланды","http://www.eapteka.ru/upload/offer_photo/237/325/resized/230_230_1.jpg"
"Реатаз","капсулы 200 мг, 60 шт.","Бристол-Майерс Сквибб, США","http://www.eapteka.ru/upload/offer_photo/208/589/resized/230_230_1.jpg"
"Метилурацил","таблетки 500 мг, 50 шт.","Биохимик Саранск, Россия","http://www.eapteka.ru/upload/offer_photo/451/78/1.jpg"
"Роксера","таблетки 10 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/215/272/resized/230_230_1.jpg"
"Эпигаллат","капсулы, 60 шт.","Мираксфарма, Россия","http://www.eapteka.ru/upload/offer_photo/212/362/1.jpg"
"Акорта","таблетки 20 мг, 30 шт.","Фармстандарт-Томск, Россия","http://www.eapteka.ru/upload/offer_photo/216/296/resized/230_230_1.jpg"
"Линкас Лор пастилки апельсин 16 шт.","упак.","Хербион, Пакистан","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"ДжиЭнСи (GNC) Глюкозамин сульфат 500 мг (Glucosamine Sulfate 500 mg) капсулы 90 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/905/resized/230_230_1.jpg"
"СидерАЛ капли для приема внутрь 30 мл","упак.","Фарманутра, Италия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"АнвиМакс Лимон","пакетики 5 г, 6 шт.","ФармВИЛАР ФПК, Россия","http://www.eapteka.ru/upload/offer_photo/221/494/resized/230_230_1.jpg"
"Сонник","капсулы, 36 шт.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/227/114/resized/230_230_1.jpg"
"Данцил","капли глазные и ушные 0,3 % , 5 мл","Сентисс Фарма, Индия","http://www.eapteka.ru/upload/offer_photo/221/260/resized/230_230_1.jpg"
"Благомин Витамин С","300 мг капсулы 0,4 г 90 шт.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/222/454/resized/230_230_1.jpg"
"Лефлобакт","таблетки 250 мг, 10 шт.","Синтез АКОМП, Россия","http://www.eapteka.ru/upload/offer_photo/219/231/resized/230_230_1.jpg"
"Рисполепт Конста","флакон, 25 мг","Янссен-Силаг, Бельгия","http://www.eapteka.ru/upload/offer_photo/206/831/1.jpg"
"Доксорубицин","флакон, 50 мг","Лэнс-Фарм, Россия","http://www.eapteka.ru/upload/offer_photo/209/816/1.jpg"
"Шалфей","пастилки 12 шт.","Натур Продукт Европа Б.В, Нидерланды","http://www.eapteka.ru/upload/offer_photo/204/359/resized/230_230_1.jpg"
"Нимесулид","таблетки 100 мг, 20 шт.","Реплекфарм, Македония","http://www.eapteka.ru/upload/offer_photo/220/318/1.jpg"
"Моксонидин","таблетки 0,2 мг, 28 шт.","Фармзащита НПЦ, Россия","http://www.eapteka.ru/upload/offer_photo/227/159/resized/230_230_1.png"
"Фенигидин","таблетки 10 мг, 50 шт.","Здоровье, Россия","http://www.eapteka.ru/upload/offer_photo/114/322/1.jpg"
"Малины сироп на фруктозе 250 мл","упак.","Биоинвентика, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Солгар Чесночное масло перлес","капсулы, 100 шт.","Солгар, США","http://www.eapteka.ru/upload/offer_photo/216/699/resized/230_230_1.jpg"
"Глюкоза раствор для инфузий 5% пакеты","250 мл","Медсинтез, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Фильтрум-СТИ","таблетки 400 мг, 10 шт.","Авва Рус, Россия","http://www.eapteka.ru/upload/offer_photo/219/188/resized/230_230_1.jpg"
"Эутирокс","таблетки 137 мкг, 100 шт.","Мерк КГаА, Россия","http://www.eapteka.ru/upload/offer_photo/217/966/resized/230_230_1.jpg"
"Гексаспрей","спрей , 30 г","Лаборатория Бушара, Франция","http://www.eapteka.ru/upload/offer_photo/102/781/resized/230_230_1.jpg"
"Хондроксид","гель 5%, 30 г","Нижфарм, Россия","http://www.eapteka.ru/upload/offer_photo/210/462/resized/230_230_1.jpg"
"Амелотекс суппозитории ректальные 15 мг","6 шт.","Сотекс, Россия","http://www.eapteka.ru/upload/offer_photo/259/289/resized/230_230_1.jpg"
"Хондрогол","бальзам, 100 мл","Натурофарм, Россия","http://www.eapteka.ru/upload/offer_photo/227/618/resized/230_230_1.jpg"
"Инфлюнет","капсулы, 20 шт.","АнвиЛаб ООО, Россия","http://www.eapteka.ru/upload/offer_photo/222/620/resized/230_230_1.jpg"
"Послабин Лактулоза","таблетки 500 мг, 30 шт.","Аптечный союз, Россия","http://www.eapteka.ru/upload/offer_photo/216/661/resized/230_230_1.jpg"
"Фенибут","таблетки 250 мг, 20 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/226/651/1.jpg"
"Викс леденцы Ментол","75 г","Проктер энд Гэмбл, США","http://www.eapteka.ru/upload/offer_photo/249/855/resized/230_230_1.jpg"
